MG_MAR_factor01,MG_MAR_factor02,MG_MAR_factor03,MG_MAR_factor04,MG_MAR_factor05,MG_MAR_factor06,MG_MAR_factor07,MG_MAR_factor08,MG_MAR_factor09,MG_MAR_factor10,MG_MAR_factor11,MG_MAR_factor12,MG_MAR_factor13,MG_MAR_factor14,MG_MAR_factor15,MG_MAR_factor16,MG_MAR_factor17,MG_MAR_factor18,MG_MAR_factor19,MG_MAR_factor20,MG_MAR_factor21,MG_MAR_factor22,MG_MAR_factor23,MG_MAR_factor24,MG_MAR_factor25,MG_MAR_factor26,MG_MAR_factor27,MG_MAR_factor28,MG_MAR_factor29,MG_MAR_factor30,consecutive
600844.SH,丹化科技,2019,2018-09-04 00:00:00,2018-06-01 00:00:00,竞买方,失败,丹化科技定增收购饭垄堆矿业100%股权,发行股份购买资产,多元化战略,饭垄堆矿业100%股权,100,110000,110000,110000,CNY,股权,,,,,,,化学原料和化学制品制造业,化工,金属非金属,"20190307：因国内市场环境、经济环境、融资环境等客观情况发生了较大变化，经充分审慎研究，公司及交易对方认为现阶段继续推进本次重大资产重组的有关条件不成熟。经协议各方友好协商，拟决定终止本次重大资产重组。
20180903：丹化科技拟分别向万方投资、田小宝、文小敏发行股份购买其合计持有的饭垄堆公司100%股权，其中，拟向万方投资发行股份购买其所持饭垄堆公司45%股权、拟向田小宝平发行股份购买其所持饭垄堆公司45%股权、拟向文小敏发行股份购买其所持饭垄堆公司10%股权。饭垄堆公司100%股权的初步估值为人民币11亿元。
2018年9月3日，丹化科技八届十九次董事会通过了相关议案。
当前国内外经济发展的不确定性正逐步上升，特别是全球性贸易摩擦加剧、主要大国货币政策回归正常化带来的溢出效应加大金融市场动荡，国内融资难、信用违约等金融风险较多，我国经济的下行压力有所加大。与此同时，随着国家“一带一路”国家战略的实施，基础设施的建设投入将持续增加，上述因素亦将导致我国锡、铅、锌产品的市场需求逐步增长。为了满足日益增长的市场需求，在目前经济形势下保持业务发展动力，公司拟布局有色金属采选行业，增加锡、铅、锌矿产的资源储备。
20180601：公司于2018年5月31日接到第一大股东江苏丹化集团有限责任公司通知，丹化集团正在筹划重大事项，该事项可能涉及本公司的控制权变更，具体方式尚未确定。
经与相关方协商，即拟合计收购万方矿业投资有限公司、田小宝、文小敏持有的郴州饭垄堆矿业有限公司100%股权。
鉴于该事项存在重大不确定性，为保证公平信息披露，维护投资者利益，避免造成公司股票价格异常波动，经公司申请，本公司股票自2018年6月1日上午开市起停牌。",,,,0
600844.SH,丹化科技,2020,2019-06-14 00:00:00,2019-05-30 00:00:00,竞买方,失败,丹化科技定增收购斯尔邦100%股权,发行股份购买资产,买壳上市,斯尔邦100%股权,100,1100000,729658.7926509186,1112000,CNY,股权,收益法,2019-07-31 00:00:00,36.4898,1.524,东方投行,,化学原料和化学制品制造业,化工,基础化工,"20200922：2020年9月21日公司召开第九届董事会第五次会议，经股东大会授权，会议审议通过了《关于终止本次重组事项并撤回相关申请材料的议案》、《关于公司签署本次重组事项相关终止协议的议案》等相关议案，董事会同意终止本次重大资产重组并撤回相关申请材料，独立董事发表了事前认可意见及独立意见。同日，上市公司与交易对方盛虹石化集团有限公司、连云港博虹实业有限公司、建信金融资产投资有限公司和中银金融资产投资有限公司签署了《发行股份购买资产终止协议》。
20200310：第二次证监会反馈意见。
20200305：第一次证监会反馈意见回复。
20200119：第一次证监会反馈意见。
20200116：第一次证监会反馈意见。
20200104：中国证监会依法对公司提交的《上市公司发行股份购买资产核准》行政许可申请材料进行了审查，认为该申请材料齐全，符合法定形式，决定对该行政许可申请予以受理。
20191225：丹化科技2019年第三次临时股东大会审议通过关于本次发行股份购买资产暨关联交易方案的议案。
20191220：近日，公司收到江苏省人民政府国有资产监督管理委员会（以下简称“江苏省国资委”）出具的《苏国资复[2019]55号》批复文件，江苏省国资委同意公司以发行股份方式向盛虹石化、博虹实业、建信投资、中银资产购买其合计持有的斯尔邦100%股权。
20191209：丹化科技发布发行股份购买资产暨关联交易报告书，更新了标的公司财务数据等相关信息。
20191008：上市公司发布发行股份购买资产暨关联交易报告书，更新了交易金额和评估价值等。
20190614：本公司拟以不低于第八届董事会第二十七次会议决议公告日前120个交易日的A股股票交易均价的90%，即3.66元/股的发行价格，向斯尔邦全体股东发行A股股份购买其持有的斯尔邦100%股权，本次交易的标的资产预估交易价格为110.00亿元。
2019年6月13日，上市公司召开第八届董事会第二十七次会议审议通过本次重组预案及相关议案。
本次交易置入优质资产，改善上市公司盈利能力；延伸产业布局，打通上下游产业链。
20190530：丹化化工科技股份有限公司正在筹划重大资产重组事项，拟以发行股份方式购买江苏斯尔邦石化有限公司100%股权，本次交易预计将构成重组上市。目前该事项仍处于洽谈阶段，双方正在积极协商沟通中。因有关事项尚存不确定性，为了维护投资者利益，避免对公司股价造成重大影响，根据上海证券交易所的相关规定，经公司申请，公司股票自2019年5月30日开市起开始停牌，公司停牌时间不超过10个交易日。",金杜律师事务所,"中兴华,安永华明",中联评估,1
600847.SH,万里股份,2017,2016-01-21 00:00:00,,竞买方,失败,万里股份定增收购5家公司100%股权,发行股份购买资产,买壳上市,丽满万家100%股权;搜房媒体100%股权;北京搜房网络100%股权;拓世寰宇100%股权;宏岸图升100%股权,,1618000,37288.13559322034,1625800,CNY,股权,收益法,2015-12-31 00:00:00,,,西南证券,,电气机械和器材制造业,电气设备,互联网软件与服务,"20170223：重庆万里新能源股份有限公司发布了《关于终止重大资产重组的公告》。
20160606：2016年6月6日，万里股份2016年第一次临时股东大会通过了相关议案。
20160520：万里股份发布《重大资产出售及发行股份购买资产并募集配套资金暨关联交易报告书》。
20160119：重庆万里新能源股份有限公司（“公司”或“万里股份”）第八届董事会第二次会议于2016年1月19日召开，会议审议通过了《关于公司重大资产出售及发行股份购买资产并募集配套资金构成关联交易的议案》。
本公司拟将截至2015年12月31日拥有的除货币资金外的全部资产及负债（在交割时，还应当包括本公司除金额等于评估基准日现金额的货币资金外的资产及负债自评估基准日以来发生的任何增减或变动）出售给南方同正，交易对价以现金支付，同时，本公司拟以非公开发行股份的方式购买搜房房天下持有的丽满万家100%股权、搜房媒体100%股权和北京搜房网络100%股权，购买房天下网络持有的拓世寰宇100%股权，购买搜房装饰持有的宏岸图升100%股权。本次交易完成后，本公司将持有丽满万家100%股权、搜房媒体100%股权、北京搜房网络100%股权、拓世寰宇100%股权和宏岸图升100%股权。本次交易价格为161.8亿人民币。本次交易构成关联交易，同时也构成借壳上市。
本次交易通过重大资产出售及发行股份购买资产的方式，将上市公司原有业务进行剥离，并注入处于互联网信息服务行业房地产领域领先地位的标的公司，实现上市公司主营业务的彻底转型。 本次交易完成后，上市公司的经营状况，资产质量，持续盈利能力和长期发展潜力均将得到大幅提升，从而最大程度的保护上市公司全体股东，尤其是中小股东的利益。另一方面，本次交易完成后，标的资产可实现与国内资本市场的对接，进一步推动标的资产主营业务的发展。借助资本市场平台，标的资产可拓宽融资渠道，提升品牌影响力，为后续发展提供推动力，同时也有助于实现上市公司股东利益最大化。",北京市海问律师事务所,"安永华明,天健会计事务所","华康评估,中和资产",0
600847.SH,万里股份,2022,2022-01-20 00:00:00,2022-01-06 00:00:00,竞买方,证监会受理,万里股份置换及定增收购特瑞电池48.15%股权,发行股份购买资产,战略合作,特瑞电池48.15%股权,48.15,117969.49,16343.479660947096,118965.8228,CNY,股权,收益法,2022-04-30 00:00:00,,,东方投行,,电气机械和器材制造业,电气设备,电气部件与设备,"20220827：中国证监会依法对公司提交的《上市公司发行股份购买资产核准》申请材料进行了审查，认为公司提交的申请材料齐全，决定对该行政许可申请予以受理。
20220820：万里股份2022年第二次临时股东大会审议通过《关于本次重大资产置换及发行股份购买资产并募集配套资金暨关联交易方案的议案》。
20220818：万里股份发布重大资产置换及发行股份购买资产并募集配套资金暨关联交易报告书（草案修订稿）。
20220729：2022年7月28日，忠县市场监督管理局出具（忠县市监）股质登记注字（2022）第006827号《股权出资注销登记通知书》，深圳市南方同正投资有限公司质押给杭州通武投资合伙企业（有限合伙）的重庆长帆新能源汽车有限公司100%股权已经办理股权出质注销登记手续。
20220719：万里股份发布此次交易的预案修订稿。
20220620：2022年4月20日，上市公司披露了《关于重大资产重组事项的进展公告》同日，上市公司收到国家市场监督管理总局出具的《经营者集中反垄断审查不实施进一步审查决定书》决定对上市公司收购重庆特瑞电池材料股份有限公司股权案不实施进一步审查。截至本公告日，本次重组所涉及的审计、评估等工作正在有序进行中。后续上市公司将根据本次重组的进展情况，严格按照有关法律法规及规范性文件的规定和要求及时履行信息披露义务。
20220304：万里股份发布此次交易的预案修订稿。
20220120：万里股份发布此次交易的预案。
20220106：重庆万里新能源股份有限公司（以下简称“万里股份”或“公司”）正在筹划通过重大资产置换及发行股份的方式收购重庆特瑞电池材料股份有限公司（以下简称“特瑞电池”或“标的公司”）控制权，并募集配套资金（以下简称“本次交易”）。因有关事项存在不确定性，为了维护投资者利益，避免对公司股价造成重大影响，根据上海证券交易所的相关规定，经公司申请，公司股票自2022年1月6日（星期四）开市起停牌，预计停牌时间不超过10个交易日。
本次交易构成《上市公司重大资产重组管理办法》规定的重大资产重组，亦构成关联交易。按照《上市公司重大资产重组管理办法》相关规定，本次交易事宜需要按照重大资产重组事项履行相关程序。",北京市海问律师事务所,天健会计事务所,中联评估,0
600848.SH,上海临港,2017,2016-06-22 00:00:00,,竞买方,完成,上海临港发行股份购买浦星公司100%股权和双创公司85%股权,发行股份购买资产,多元化战略,浦星公司100%股权;双创公司85%股权,,165000,112244.89795918367,165000,CNY,股权,资产基础法,2016-05-31 00:00:00,,,国泰君安,,房地产业,房地产管理和开发,"信息科技咨询与其它服务,房地产Ⅱ","20170109：上海临港发布相关实施情况报告书，本次交易完成。
20161230：标的资产已经过户。
20161229：2016年12月29日，上海临港控股股份有限公司收到中国证券监督管理委员会（以下简称“中国证监会”）《关于核准上海临港控股股份有限公司向上海漕河泾开发区经济技术发展有限公司发行股份购买资产并募集配套资金的批复》。
20161128：上海临港控股股份有限公司于2016年11月28日接到中国证券监督管理委员会通知，经中国证监会上市公司并购重组审核委员会于2016年11月28日召开的 2016年第89次工作会议审核，公司发行股份购买资产并募集配套资金暨关联交易事项获得无条件通过。
20161111：第二次证监会反馈意见回复。
20161102：第二次证监会反馈意见。
20161017：第一次证监会反馈意见回复。
20160928：第一次证监会反馈意见。
20160905：上海临港控股股份有限公司于2016年9月5日收到中国证券监督管理委员会出具的《中国证监会行政许可申请受理通知书》（162304号）。中国证监会依法对公司提交的《上海临港控股股份有限公司上市公司发行股份购买资产核准》行政许可申请材料进行了审查，认为该申请材料齐全，符合法定形式，决定对该行政许可申请予以受理。
20160822：2016年8月22日，上海临港2016年第一次临时股东大会通过了相关议案。
20160819：2016年8月19日，公司收到上海市国有资产监督管理委员会（以下简称“上海市国资委”）出具的《关于上海临港控股股份有限公司重大资产重组有关问题的批复》。
20160621：上海临港拟以审议本次重大资产重组事项的董事会决议公告日前20个交易日股票交易均价的90%即14.07 元/股的发行价格，向浦江公司发行股份购买其持有的浦星公司100%股权及双创公司85%股权。
2016年6月21日，上海临港召开了第九届监事会第七次会议，审议通过了《关于公司发行股份购买资产并募集配套资金暨关联交易方案的议案》。
本次交易完成后，上市公司将持有浦星公司100%股权、双创公司85%股权。浦江高科技园重点布局科技创新产业，园区位于闵行区浦江镇，是上海市未来重点发展新城区域，地理位置优越，交通便捷、商业及生活配套设施齐全。通过本次重组，上市公司的现有土地资源储备将进一步增加，有利于上市公司进一步集聚优势资源、打造新的区域产业集聚平台，推进在上海产业园区的战略布局。",国浩律师,瑞华会计所,东洲评估,0
600848.SH,上海临港,2019,2018-09-15 00:00:00,2018-06-15 00:00:00,竞买方,完成,上海临港定增收购6家公司股权,发行股份购买资产,横向整合,合资公司65%股权;高科技园公司100%股权;科技绿洲公司10%股权;南桥公司45%股权;双创公司15%股权;华万公司55%股权,,1889953.29,430076.70917654136,1999813.69,CNY,股权+现金,资产基础法,2018-06-30 00:00:00,,,国泰君安,,房地产业,房地产管理和开发,"房地产开发,建筑与工程,信息科技咨询与其它服务","20191204：上海临港发布发行股份及支付现金购买资产并募集配套资金暨关联交易之非公开发行股票募集配套资金发行情况报告书，本次交易完成。
20190702：重组双方完成了标的公司股权的过户事宜，相关工商变更登记手续已办理完毕。
20190510：本次交易获得证监会核准，并发布修定稿。
20190402：发布修订稿草案。
20190328：2019年3月27日，中国证监会并购重组委召开2019年第11次并购重组委工作会议，对上海临港控股股份有限公司本次重大资产重组进行了审核。根据会议审核结果，公司本次重大资产重组事项获得有条件通过。
20190304：第一次证监会反馈意见回复。
20190302：公司更新交易标的审计报告。
20190117：第一次证监会反馈意见。
20190103：证监会受理
20181221：股东大会通过。
20181219：2018年12月18日，公司收到上海市国有资产监督管理委员会（以下简称“上海市国资委”）出具的《关于上海临港控股股份有限公司重大资产重组有关问题的批复》，上海市国资委原则同意。
20181205：拟注入资产交易作价合计为1,889,953.29万元。其中，以现金方式支付对价279,338.30万元，以股份方式支付对价1,610,614.99万元。
20181010：公司拟增加东久投资作为本次重组非公开发行股份募集配套资金的认购方。本次方案调整后，募集配套资金交易对方由普洛斯、建工投资等不超过10名特定投资者变更为包括普洛斯、建工投资、东久投资在内的不超过10名特定投资者。
20180914：上海临港向漕总公司发行股份及支付现金购买其持有的合资公司65%股权、高科技园公司100%股权及科技绿洲公司10%的股权；向天健置业、久垄投资、莘闵公司、华民置业及蓝勤投资发行股份购买其持有的南桥公司45%股权、双创公司15%股权及华万公司55%股权。上述发行股份及支付现金购买资产完成后，上海临港将通过直接及间接方式持有合资公司65%股权、高科技园公司100%股权、科技绿洲公司100%股权、南桥公司100%股权、双创公司100%股权及华万公司100%股权。经上市公司与交易对方协商一致，合资公司65%股权、高科技园公司100%股权、科技绿洲公司10%股权、南桥公司45%股权、双创公司15%股权、华万公司55%股权的交易作价分别为51.54亿元、123.11亿元、0.68亿元、5.33亿元、0.21亿元、1.42亿元，拟注入资产交易作价合计约182.30亿元。本次交易对价由上市公司以发行股份及支付现金方式支付，其中，以现金方式支付对价约26.88亿元，以股份方式支付对价约155.42亿元。
2018年9月14日，上海临港召开第九届董事会第三十四次会议，审议通过本次重组预案及相关议案。
本次拟注入资产质地优良，有较好的成长性，有助于上市公司推动在上海市园区开发产业内的区位布局。重组完成后，上市公司的盈利能力、抗风险能力及持续经营能力将进一步增强，公司的综合竞争力及行业地位也将得到提升。
20180615：因上海临港控股股份有限公司实际控制人上海临港经济发展（集团）有限公司正在筹划涉及公司的重大事项，上述事项预计构成公司重大资产重组，经公司申请，公司股票自2018年6月15日起停牌.",国浩律师,天健会计事务所,东洲评估,0
600850.SH,电科数字,2022,2021-03-06 00:00:00,2021-03-08 00:00:00,竞买方,证监会核准,电科数字定增收购柏飞电子100.00%股权,发行股份购买资产,多元化战略,柏飞电子100.00%股权,100,233648.79,65798.02590819488,233648.79,CNY,股权,收益法,2020-12-31 00:00:00,20.3863,3.551,华泰联合证券,中金公司,软件和信息技术服务业,信息技术服务,应用软件,"20220723：截至本公告披露日，柏飞电子已向市场监督管理部门递交工商变更申请材料。
20220526：中电科数字技术股份有限公司于2022年5月25日收到中国证券监督管理委员会《关于核准中电科数字技术股份有限公司向中电科数字科技（集团）有限公司等发行股份购买资产的批复》，核准公司发行股份购买相关资产。
20220514：2022年5月13日，中国证券监督管理委员会上市公司并购重组审核委员会召开并购重组委2022年第6次工作会议，根据会议审核结果，公司本次重组事项获得无条件通过。
20220415：上市公司发布本次交易修订稿，回复《中国证监会行政许可项目审查一次反馈意见通知书》相关内容。
20220316：中电科数字技术股份有限公司于2022年3月15日收到中国证券监督管理委员会出具的《中国证监会行政许可项目审查一次反馈意见通知书》。
20220221：近日公司收到中国证券监督管理委员会出具的《中国证监会行政许可申请受理单》，中国证监会决定对该行政许可申请予以受理。
20220129：电科数字2021年第三次临时股东大会审议通过关于公司本次发行股份购买资产构成关联交易的议案。
20220107：近日，公司实际控制人中国电子科技集团有限公司收到国务院国有资产监督管理委员会出具的《关于中电科数字技术股份有限公司资产重组有关事项的批复》，国务院国资委已原则同意公司本次资产重组的总体方案。
20220104：上市公司发布修订稿并更新相关信息。
20211111：上市公司发布本次交易草案，更新本次交易价格、标的审计、评估等相关内容。
20210628：上市公司发布预案修订稿并更新相关信息。
20210609：根据上市公司与主要交易对方协商，上市公司拟对本次交易方案进行调整，减少标的资产，将本次交易的标的资产由“雅迅网络99.76%股份和柏飞电子100.00%股权”调整为“柏飞电子100.00%股权”，相应减少交易对方、调整支付方式，并对定价基准日、发行价格进行调整，同时取消募集配套资金。
20210320：华东电脑拟以发行股份及支付现金的方式向包括电科数字、电科投资在内的82名雅迅网络股东购买其合计持有的雅迅网络99.76%股份。其中，上市公司拟以发行股份及支付现金的方式收购电科数字所持的雅迅网络26.02%股份，拟以发行股份的方式收购电科投资、金龙汽车、火炬集团、中铁五局、温州祯睿及黄咏青等76名自然人合计持有的雅迅网络73.74%股份。上市公司拟以发行股份的方式向包括电科数字、三十二所、中电国睿、国元基金在内的12名股东购买其合计持有的柏飞电子100.00%股权。
本次交易构成关联交易，本次交易预计构成重大资产重组，本次交易不构成重组上市。
2021年3月19日，上市公司召开第九届董事会第二十次会议，审议通过了与本次交易的重组预案相关的议案。
20210313：在拟收购雅迅网络股权的基础上，公司拟进一步通过发行股份的方式购买电科数字、中电国睿集团有限公司、中国电子科技集团公司第三十二研究所等合计持有的上海柏飞电子科技有限公司的部分股权或全部股权。
20210306：上海华东电脑股份有限公司正在筹划重大资产重组相关事宜。公司拟通过发行股份及支付现金的方式购买中电科数字科技（集团）有限公司、中电科投资控股有限公司等合计持有的厦门雅迅网络股份有限公司的部分股权或全部股权，预计交易完成后公司将取得标的公司控制权。
根据有关规定，经公司向上海证券交易所申请，公司股票自2021年3月8日开市起停牌，预计停牌时间不超过10个交易日。",国浩律师,大华会计师事务所,银信评估,0
600855.SH,航天长峰,2019,2019-04-09 00:00:00,2019-03-25 00:00:00,竞买方,完成,航天长峰发行股份购买航天朝阳电源100%股权,发行股份购买资产,多元化战略,航天朝阳电源100%股权,100,96105.79,46129.303062302,96105.79,CNY,股权,收益法,2019-02-28 00:00:00,18.9866,2.0834,国泰君安,,专用设备制造业,信息技术服务,电子元件,"20191226：航天长峰发布实施情况报告书，本次交易已完成。
20191218：2019年12月17日，经朝阳市双塔区市场监督管理局核准，航天朝阳电源办理完毕其100%股权过户至航天长峰的工商变更登记手续，并取得换发后的《营业执照》。
20191214：航天长峰发布修订稿，本次交易已获得中国证监会核准。
20191121：2019年11月20日，中国证券监督管理委员会（以下简称“中国证监会”）上市公司并购重组审核委员会召开2019年第61次并购重组委工作会议，对北京航天长峰股份有限公司（以下简称“公司”）发行股份购买资产暨关联交易事项（以下简称“本次重组”）进行了审核。根据会议审核结果，公司本次重组事项获得有条件通过。
20191115：航天长峰发布修订稿。
20191104：上市公司发布修订稿，补充披露如本次交易未能于2019年度完成，顺延业绩承诺的具体金额及安排。
20190920：第一次证监会反馈意见。
20190904：中国证监会依法对公司提交的《上市公司发行股份购买资产核准》行政许可申请材料进行了审查，认为该申请资料齐全，符合法定形式，决定对该行政许可申请予以受理。
20190827：发布修订稿，披漏航天朝阳电源审计报告。
20190821：航天长峰2019年第二次临时股东大会审议通过关于发行股份购买资产暨关联交易方案的议案。
20190820：北京航天长峰股份有限公司（以下简称“公司”）近日收到实际控制人中国航天科工集团有限公司转来的国务院国有资产监督管理委员会《关于北京航天长峰股份有限公司资产重组有关问题的批复》（国资产权[2019]393号）。原则同意股份公司本次资产重组的总体方案。
20190718：发布修订稿。
20190709：发布草案，经交易各方友好协商，同意标的资产交易价格为96,105.79万元。
20190530：发布修订稿。
20190409：航天长峰拟向防御院和朝阳电源发行股份购买其合计持有的航天朝阳电源100%的股权。本次交易完成后，航天朝阳电源将成为航天长峰的全资子公司。经交易各方友好协商，同意标的资产交易价格暂定为96,000万元。
本次发行股份为境内上市的人民币A股普通股，每股面值1.00元。本次交易标的资产交易价格暂定为96,000万元，根据本次发行股份购买资产的发行价格，发行数量相应为87,114,337股。其中，上市公司向防御院发行44,445,735股，向朝阳电源发行42,668,602股。
本次交易构成重大资产重组，本次交易不构成重组上市，本次交易构成关联交易，本次交易预案已经上市公司第十届董事会第三十二次会议审议通过。",天元律所,致同会所,中同华,0
600859.SH,王府井,2017,2016-11-02 00:00:00,2016-09-27 00:00:00,竞买方,失败,王府井拟53.73亿人民币购买贝尔蒙特100%股权,协议收购,横向整合,贝尔蒙特100%股权,100,537260.05,402924.8912554372,537260.05,CNY,现金+债权,收益法,2016-06-30 00:00:00,51.5028,1.2444,中信建投证券,,零售业,多元化零售,多领域控股,"20170121：现由于相关事项尚待论证，继续推进本次重组事项存在不确定性。经公司与王府井国际协商，决定终止本次重大资产重组。
20161102：王府井拟以支付现金并承接债务的方式向王府井国际购买其持有的贝尔蒙特香港有限公司（Belmont Hong Kong Ltd.）100%股权。
2016年10月31日签署了《资产购买协议》。
本次交易前，标的公司与上市公司之间存在一定程度的同业竞争，王府井国际也对解决此同业竞争问题作出了公开承诺。通过本次重组，实现将标的公司注入王府井，纳入王府井合并范围，解决了上市公司与王府井国际之间的同业竞争问题，有助于上市公司规范运营，保护上市公司及其中小股东权益。
20160927：王府井集团股份有限公司（以下简称“公司”）正在筹划重大资产重组。为保证公平信息披露，维护投资者利益，避免造成公司股价异常波动，经公司申请，本公司股票自2016年9月27日起停牌。",北京市海问律师事务所,信永中和,中和资产,0
600859.SH,王府井,2018,2017-08-19 00:00:00,2017-08-04 00:00:00,竞买方,完成,王府井吸收合并王府井国际100%股权,吸收合并,整体上市,王府井国际100%股权,100,429120.179,293094.85622566764,429120.179,CNY,股权+现金,资产基础法,2017-05-31 00:00:00,18.3378,,中信建投证券,,零售业,多元化零售,商业印刷,"20180112：上市公司发布本次交易实施情况报告，本次交易完成。
20180105：标的资产完成交割。
20171221：证监会批准。
20171201：发审委通过。
20171031：北京市国资委同意将国管中心持有的王府井国际5%股权无偿划转给王府井东安，本次交易的交易对方调整为王府井东安、信升创卓、福海国盛。
20170909：证监会受理。
20170905：股东大会通过。
20170902：本次吸收合并事件获得北京市人民政府国有资产监督管理委员会批准。
20170819：王府井通过向王府井国际的四方股东王府井东安、国管中心、信升创卓、福海国盛以发行股份和支付现金作为吸收合并对价，对王府井国际实施吸收合并。王府井为吸收合并方，王府井国际为被吸收合并方。本次吸收合并完成后，王府井为存续方，将承继及承接王府井国际的全部资产、负债、合同及其他一切权利与义务。王府井东安、国管中心、信升创卓、福海国盛将成为上市公司的股东。
本次交易中王府井向王府井国际四方股东王府井东安、国管中心、信升创卓、福海国盛合计增发A股股份的数量，等于本次交易实施前王府井国际持有的王府井A股股份数量（296,390,323股）；同时，本次交易实施后，王府井国际持有的全部王府井A股股份（296,390,323股）将注销。因此，本次交易实施前后，上市公司的总股份数量保持不变，注册地、组织形式、法定代表人、名称亦保持不变。
本次交易是王府井国际整体上市的后续步骤，通过吸收合并的方式简化王府井持股层级，实现王府井国际的四方股东王府井东安、国管中心、信升创卓、福海国盛直接持有上市公司的股份，从而进一步提高上市公司的决策效率、优化公司治理结构。",北京市海问律师事务所,信永中和,中和资产,1
600859.SH,王府井,2021,2021-01-30 00:00:00,,竞买方,完成,王府井换股吸收合并首商股份100%股权,吸收合并,其他并购目的,首商股份100%股权,100,672206.198,,,CNY,股权,,,16.9058,1.6513,"中信建投证券,华泰联合证券",,零售业,多元化零售,百货商店,"20211029：上市公司发布本次交易实施情况报告书，交易完成。
20211022：上海证券交易所已出具了《关于北京首商集团股份有限公司股票终止上市的决定》，决定对首商股份股票予以终止上市。首商股份股票自2021年10月22日起终止上市。首商股份股票终止上市后，首商股份股东的股票账户中将不再显示首商股份股票，直至首商股份股票转换为公司股票并完成新增股份上市的相关手续。本次合并的合并实施股权登记日为2021年10月21日，本次合并即将进入换股实施阶段，公司将积极办理本次合并所涉及的股份换股相关手续。公司将在本次合并换股实施完成后另行刊登换股实施结果、股份变动暨新增股份上市公告。
20210903：2021年9月1日，中国证监会印发《关于核准王府井集团股份有限公司发行股份吸收合并北京首商集团股份有限公司并募集配套资金的批复》(证监许可[2021]2817号)，核准本次交易。
20210813：2021年8月12日，中国证券监督管理委员会上市公司并购重组审核委员会召开2021年第19次并购重组委工作会议，对王府井集团股份有限公司换股吸收合并北京首商集团股份有限公司并募集配套资金暨关联交易事项进行了审核。根据会议审核结果，公司本次重组事项获得无条件通过。
20210727：王府井关于对中国证监会行政许可项目审查一次反馈意见通知书进行回复，并发布此次交易的修订稿。
20210702：王府井于近日收到中国证券监督管理委员会出具的《中国证监会行政许可项目审查一次反馈意见通知书》。中国证监会依法对公司提交的《王府井集团股份有限公司上市公司合并、分立核准》行政许可申请材料进行了审查，要求公司就有关问题作出书面说明和解释，并在30个工作日内向中国证监会行政许可受理部门提交书面回复意见。
20210605：公司于近日收到中国证券监督管理委员会出具的中国证监会行政许可申请受理单。中国证监会依法对公司提交的《上市公司合并、分立核准》行政许可申请材料进行了审查，认为申请材料齐全，符合法定形式，决定对该行政许可申请予以受理。
20210529：首商股份2020年年度股东大会审议通过关于王府井集团股份有限公司换股吸收合并北京首商集团股份有限公司并募集配套资金暨关联交易方案的议案。
20210508：王府井发布此次交易的草案，更新了相关信息。
20210305：王府井关于本次交易再次延期回复上海证券交易所问询函，并发布修订稿。
20210130：本次交易通过换股吸收合并的方式对王府井和首商股份进行重组整合，旨在解决吸收合并双方的同业竞争问题，优化首旅集团及北京市国有商业板块的产业布局，有效提升存续公司核心竞争力，打造具有国际水准、国内一流的现代商业零售企业集团。
王府井以发行A股方式换股吸收合并首商股份，王府井为吸收合并方，首商股份为被吸收合并方，时，王府井拟采用询价的方式向包括首旅集团在内的不超过35名特定投资者非公开发行A股股票募集配套资金不超过40亿元。本次换股吸收合并完成后，首商股份将终止上市并注销法人资格，王府井或其全资子公司将承继及承接首商股份的全部资产、负债、业务、人员、合同及其他一切权利与义务。王府井因本次换股吸收合并所发行的A股股票将申请在上交所主板上市流通。
本次交易构成关联交易，本次交易不构成重组上市，本次交易构成重大资产重组。","君合律师,北京市海问律师事务所","信永中和,致同会所",,0
